" " "Código [-]" "Gentílico [-]" "Prefeito [2017]" "Área Territorial - km² [2018]" "População estimada - pessoas [2019]" "Densidade demográfica - hab/km² [2010]" "Escolarização <span>6 a 14 anos</span> - % [2010]" "IDHM <span>Índice de desenvolvimento humano municipal</span> [2010]" "Mortalidade infantil - óbitos por mil nascidos vivos [2017]" "Receitas realizadas - R$ (×1000) [2017]" "Despesas empenhadas - R$ (×1000) [2017]" "PIB per capita - R$ [2017]"
Adamantina 3500105 adamantinense "MÁRCIO CARDIM" 411,987 35068 82,15 97,6 0,79 11,63 160718,67925 137083,66993 30010,56
Adolfo 3500204 adolfino "IZAEL ANTONIO FERNANDES" 211,055 3562 16,85 98,6 0,73 19,23 27333,74731 20103,87713 27634,98
Aguaí 3500303 aguaiano "JOSÉ ALEXANDRE PEREIRA DE ARAÚJO" 474,554 36305 67,72 95,8 0,715 16,06 84094,76006 72168,73408 26549,19
"Águas da Prata" 3500402 pratense "CARLOS HENRIQUE FORTES DEZENA" 142,673 8180 53,05 98,8 0,781 25,32 29390,24814 24363,40149 18974,98
"Águas de Lindóia" 3500501 lindoiense "GILBERTO ABDOU HELOU" 60,126 18705 287,16 96,2 0,745 8,37 86949,22213 75201,47793 25554,26
"Águas de Santa Bárbara" 3500550 santa-barbarense "AROLDO JOSÉ CAETANO" 404,463 6075 13,83 98,2 0,757 23,26 34484,19534 28471,94804 24673,66
"Águas de São Pedro" 3500600 água-pedrense "PAULO SERGIO BARBOZA DE LIMA" 3,612 3451 488,89 98,4 0,854 38,46 25157,75668 22709,99284 38294,25
Agudos 3500709 agudense "ALTAIR FRANCISCO SILVA" 966,708 37214 35,73 97,9 0,745 12,13 159980,62054 143417,68289 55938,77
Alambari 3500758 alambariense "HUDSON JOSE GOMES" 159,6 6025 30,66 99,3 0,712 25 23710,99557 21839,01214 17477,7
"Alfredo Marcondes" 3500808 marcondense "EDMILSON JOSE CORREIA" 118,915 4166 32,86 98,6 0,741 20,83 16478,9668 15111,97897 20072,53
Altair 3500907 altairense "ANTONIO PADRON NETO" 313,007 4160 12,16 96 0,687 20,41 22318,94651 19410,76045 51127,03
Altinópolis 3501004 altinopolense "JOSÉ ROBERTO FERRACIN MARQUES" 928,956 16184 16,8 99,3 0,73 16,39 72144,19151 55436,05472 32489,01
"Alto Alegre" 3501103 alto-alegrense "HELENA BERTO TOMAZINI SORROCHE" 318,574 4099 12,86 95,1 0,7 33,33 20846,4169 18236,22271 26590,67
Alumínio 3501152 aluminense "ANTONIO PIASSENTINI" 83,66 18628 201,28 98,8 0,766 20,33 75397,42207 72572,58372 101155,71
"Álvares Florence" 3501202 "alvares florencense" "CALIMÉRIO LUIZ CORREA SALES" 362,411 3679 10,74 99,3 0,728 26,32 20470,81479 18241,10731 27907,99
